,confirmedCount,actualConfirmedCount
0,78.3719659469697,169
1,87.2380136509787,162
2,97.0759911482585,165
3,107.98704914410062,166
4,120.07855085458343,163
5,133.46707317656436,178
6,148.27837372625189,187
7,164.64719557274046,200
8,182.71682505272022,203
9,202.63888038855274,210
10,224.57255764072804,224
11,248.6833910005179,239
12,275.1418759568438,260
13,304.12122033764894,266
14,335.79389029268793,276
15,370.32832065444416,295
16,407.8848272581627,308
17,448.6090645893293,317
18,492.6268744648587,350
19,540.0350710422214,362
20,590.8933799937394,380
21,645.2150163793232,413
22,702.9557713360693,454
23,764.0040920839965,499
24,828.1678544193588,572
25,895.1657342073826,639
26,964.6169050283622,723
27,1036.0335816082493,786
28,1108.8165618100518,893
29,1182.2540205482512,979
30,1255.5265826134669,1100
31,1327.7162729331055,1203
32,1397.8225868910536,1279
33,1464.7848468217746,1378
34,1527.5103521847902,1453
35,1584.9078596181917,1466
36,1635.924813658004,1484
37,1679.586364507705,1522
38,1715.033925946522,1558
39,1741.5607026166647,1606
40,1758.6417517850805,1701
41,1765.9557916753856,1734
42,1763.3996984662394,1760
43,1751.0895086563096,1774
44,1729.3537332109934,1707
45,1698.7161132380593,1392
46,1659.8701490994329,1368
47,1613.6478539801892,1261
48,1560.9839478731294,1169
49,1502.8805294666931,1123
50,1440.369885619743,1103
51,1374.4813224241475,1035
52,1306.212176152609,979
53,1236.5036606717263,908
54,1166.2215064574495,858
55,1096.1437207820113,790
56,1026.95227495657,718
57,959.2298713434209,584
58,893.4604309013733,506
59,830.0329649947454,434
60,769.2479959444364,434
61,711.3241057013981,302
62,656.408342526584,247
63,604.584962333706,163
64,555.8834561813044,175
65,510.2883572104645,171
66,467.7472656255951,159
67,428.1778285983278,157
68,391.4758272787431,163
69,357.5195110025897,166
70,326.1754409843457,168
71,297.3026785932584,205
72,270.7563024880904,218
73,246.39036812953555,233
74,224.0601483298446,257
75,203.6240587115497,278
76,184.94503807383091,290
77,167.89144704844426,295
78,152.33770604373098,292
79,138.16519029503192,281
80,125.26202759994308,275
81,113.52365012480934,269
82,102.85230620049991,257
83,93.15694918455802,235
84,84.35329183027599,201
85,76.36337457094363,172
86,69.11525945048939,163
87,62.54276519206987,176
88,56.585464323114174,184
89,51.18762275097729,180
90,46.29805678454769,169
91,41.86990584497052,168
92,37.86076249757985,173
93,34.23182853970615,176
94,30.947752747339727,176
95,27.97629225036246,184
96,25.28812650923188,210
97,22.856639449470855,219
98,20.657604193955823,225
99,18.66898545322615,213
100,16.87092419660166,214
101,15.245464852301966,209
102,13.776195284291463,196
103,12.447956102809727,179
