,date,true_confirm,predict_confirm
66,20200325,1444,1511.8819580078125
67,20200326,1456,1520.977783203125
68,20200327,1467,1529.2706298828125
69,20200328,1475,1536.532958984375
70,20200329,1484,1543.60205078125
71,20200330,1490,1550.192138671875
72,20200331,1501,1556.8375244140625
73,20200401,1507,1561.89013671875
74,20200402,1514,1566.6932373046875
75,20200403,1516,1571.0626220703125
76,20200404,1524,1575.712890625
77,20200405,1532,1579.5718994140625
78,20200406,1533,1582.5145263671875
79,20200407,1536,1586.23828125
80,20200408,1539,1590.345458984375
81,20200409,1544,1594.681640625
82,20200410,1548,1598.8870849609375
83,20200411,1552,1603.4501953125
84,20200412,1555,1607.6900634765625
85,20200413,1564,1611.9189453125
86,20200414,1566,1614.88720703125
87,20200415,1571,1617.719970703125
88,20200416,1577,1619.7930908203125
89,20200417,1579,1620.925537109375
90,20200418,1580,1621.83642578125
91,20200419,1581,1622.632568359375
92,20200420,1582,1623.470703125
93,20200421,1582,1624.2503662109375
94,20200422,1584,1625.118408203125
95,20200423,1585,1625.729736328125
96,20200424,1585,1626.2252197265625
97,20200425,1586,1626.7359619140625
98,20200426,1587,1627.1221923828125
99,20200427,1587,1627.3092041015625
100,20200428,1588,1627.5067138671875
101,20200429,1588,1627.5067138671875
102,20200430,1588,1627.5457763671875
103,20200501,1588,1627.6434326171875
104,20200502,1588,1627.7637939453125
105,20200503,1588,1627.8907470703125
106,20200504,1588,1628.0784912109375
107,20200505,1588,1628.2655029296875
108,20200506,1589,1628.464111328125
109,20200507,1589,1628.464111328125
110,20200508,1589,1628.464111328125
111,20200509,1589,1628.464111328125
112,20200510,1589,1628.503173828125
113,20200511,1589,1628.6011962890625
114,20200512,1589,1628.72119140625
115,20200513,1589,1628.8470458984375
116,20200514,1589,1629.0743408203125
117,20200515,1589,1629.3592529296875
118,20200516,1590,1629.677001953125
119,20200517,1590,1629.8416748046875
120,20200518,1590,1630.12890625
121,20200519,1590,1630.435546875
122,20200520,1591,1630.75927734375
123,20200521,1591,1630.94775390625
124,20200522,1591,1631.1351318359375
125,20200523,1592,1631.3720703125
126,20200524,1592,1631.4703369140625
127,20200525,1592,1631.66748046875
128,20200526,1592,1632.0299072265625
129,20200527,1592,1632.5947265625
130,20200528,1592,1633.291748046875
131,20200529,1593,1634.2103271484375
132,20200530,1593,1635.136474609375
133,20200531,1595,1636.3673095703125
134,20200601,1596,1637.3984375
135,20200602,1597,1638.3603515625
136,20200603,1598,1639.4447021484375
137,20200604,1598,1640.5511474609375
138,20200605,1601,1641.8800048828125
139,20200606,1602,1642.8519287109375
140,20200607,1602,1644.366943359375
141,20200608,1604,1647.1199951171875
142,20200609,1604,1649.9613037109375
143,20200610,1607,1653.1884765625
144,20200611,1607,1656.932373046875
145,20200612,1608,1660.8096923828125
146,20200613,1625,1665.151123046875
147,20200614,1625,1666.36669921875
148,20200615,1628,1667.6995849609375
149,20200616,1628,1668.6431884765625
150,20200617,1628,1669.769775390625
151,20200618,1631,1670.964111328125
152,20200619,1634,1671.65625
153,20200620,1634,1671.8536376953125
154,20200621,1634,1672.177001953125
155,20200622,1634,1672.604248046875
156,20200623,1634,1673.201416015625
157,20200624,1635,1674.1693115234375
158,20200625,1635,1675.0618896484375
159,20200626,1637,1676.0625
160,20200627,1637,1676.97412109375
161,20200628,1637,1677.9478759765625
162,20200629,1641,1679.0479736328125
163,20200630,1641,1679.4007568359375
164,20200701,1642,1679.9237060546875
165,20200702,1642,1680.40771484375
166,20200703,1643,1681.0484619140625
167,20200704,1643,1681.6422119140625
168,20200705,1643,1682.3690185546875
169,20200706,1644,1683.3282470703125
170,20200707,1645,1684.2242431640625
171,20200708,1647,1685.0482177734375
172,20200709,1647,1685.48779296875
173,20200710,1648,1686.2183837890625
174,20200711,1648,1687.1038818359375
175,20200712,1650,1688.3525390625
176,20200713,1650,1689.4146728515625
177,20200714,1650,1690.7874755859375
178,20200715,1650,1692.4716796875
179,20200716,1654,1694.76904296875
180,20200717,1657,1696.9044189453125
181,20200718,1659,1698.8143310546875
182,20200719,1659,1700.62451171875
183,20200720,1659,1702.9620361328125
184,20200722,1662,1705.6680908203125
185,20200724,1669,1708.0712890625
186,20200725,1672,1709.4112548828125
187,20200726,1672,1710.5489501953125
188,20200727,1672,1711.968017578125
189,20200728,1674,1713.8641357421875
190,20200729,1675,1715.7669677734375
191,20200730,1678,1717.71826171875
192,20200731,1680,1719.22216796875
193,20200801,1682,1720.8531494140625
194,20200802,1683,1722.529541015625
195,20200803,1687,1724.4599609375
196,20200804,1687,1726.249267578125
197,20200806,1687,1728.906494140625
198,20200807,1688,1732.024169921875
199,20200808,1693,1735.46826171875
200,20200809,1696,1738.9788818359375
201,20200810,1699,1742.5126953125
202,20200812,1707,1746.068115234375
203,20200813,1707,1748.5350341796875
204,20200814,1709,1751.6065673828125
205,20200815,1712,1754.473876953125
206,20200816,1720,1757.1959228515625
207,20200817,1721,1758.5009765625
208,20200818,1725,1759.99853515625
209,20200820,1725,1761.1298828125
210,20200821,1725,1762.4031982421875
211,20200822,1727,1764.0474853515625
212,20200823,1727,1765.7198486328125
213,20200824,1730,1767.568603515625
214,20200825,1734,1769.06103515625
215,20200826,1734,1770.048583984375
216,20200827,1735,1771.3714599609375
217,20200828,1737,1773.3138427734375
218,20200829,1738,1775.8604736328125
219,20200830,1739,1778.8779296875
220,20200831,1740,1782.35546875
221,20200901,1742,1786.8492431640625
222,20200902,1745,1791.3560791015625
223,20200903,1758,1795.8741455078125
224,20200904,1760,1798.433837890625
225,20200905,1763,1801.0374755859375
226,20200906,1767,1803.493896484375
227,20200907,1769,1805.75927734375
228,20200909,1770,1808.46533203125
229,20200910,1774,1812.1346435546875
230,20200911,1776,1815.8812255859375
231,20200913,1778,1819.803955078125
232,20200914,1782,1824.5604248046875
233,20200915,1783,1828.8880615234375
234,20200919,1797,1833.61474609375
235,20200920,1800,1836.1405029296875
236,20200921,1803,1838.4921875
237,20200922,1807,1840.7769775390625
238,20200923,1807,1842.885498046875
239,20200924,1809,1845.8023681640625
240,20200925,1812,1849.188232421875
241,20200926,1814,1852.5499267578125
242,20200927,1819,1856.549072265625
243,20200928,1819,1860.200927734375
244,20200929,1827,1864.557373046875
245,20201001,1831,1867.970458984375
246,20201002,1834,1870.8724365234375
247,20201003,1840,1873.781494140625
248,20201004,1841,1875.990234375
249,20201005,1846,1878.5684814453125
250,20201006,1848,1880.752685546875
251,20201007,1848,1883.0596923828125
252,20201008,1851,1886.3447265625
253,20201009,1852,1889.6844482421875
254,20201010,1858,1893.3330078125
255,20201011,1861,1896.53857421875
256,20201012,1863,1899.8223876953125
257,20201013,1869,1903.368896484375
258,20201014,1873,1906.395751953125
259,20201015,1875,1909.3189697265625
260,20201016,1877,1912.3240966796875
261,20201017,1881,1915.7200927734375
262,20201018,1884,1919.20849609375
263,20201019,1889,1922.7470703125
264,20201020,1892,1925.54736328125
265,20201021,1895,1928.520263671875
266,20201022,1895,1931.3394775390625
267,20201023,1904,1934.7384033203125
268,20201024,1907,1936.936767578125
269,20201025,1908,1939.1756591796875
270,20201026,1909,1942.1201171875
271,20201027,1911,1945.915771484375
272,20201028,1914,1949.9107666015625
273,20201030,1919,1953.90625
274,20201031,1922,1957.708251953125
275,20201101,1927,1961.5643310546875
276,20201102,1935,1965.1673583984375
277,20201103,1938,1967.8975830078125
278,20201104,1938,1970.363037109375
279,20201105,1941,1973.3287353515625
280,20201106,1943,1976.5001220703125
281,20201108,1949,1980.0130615234375
282,20201109,1955,1982.9515380859375
283,20201110,1955,1985.086181640625
284,20201111,1956,1988.0872802734375
285,20201112,1956,1991.17138671875
286,20201114,1966,1994.6552734375
287,20201115,1968,1996.405029296875
288,20201117,1972,1998.318359375
289,20201118,1973,1999.808837890625
290,20201119,1975,2001.4520263671875
291,20201120,1975,2003.2320556640625
292,20201121,1975,2005.3487548828125
293,20201122,1979,2007.592529296875
294,20201123,1983,2009.3701171875
295,20201124,1984,2010.420654296875
296,20201125,1988,2011.453369140625
297,20201126,1988,2012.0341796875
298,20201127,1988,2013.0186767578125
299,20201128,1988,2014.286865234375
300,20201129,1989,2016.136474609375
301,20201130,1989,2018.4576416015625
302,20201201,1992,2021.2337646484375
303,20201202,1996,2023.889892578125
304,20201203,1997,2026.24755859375
305,20201204,2000,2028.913818359375
306,20201206,2004,2031.3758544921875
307,20201207,2007,2033.2977294921875
308,20201208,2009,2034.9632568359375
309,20201209,2010,2036.5684814453125
310,20201210,2013,2038.3134765625
311,20201211,2015,2039.8326416015625
312,20201212,2016,2041.3458251953125
313,20201213,2017,2043.047119140625
314,20201214,2018,2044.844970703125
315,20201215,2021,2047.0484619140625
316,20201216,2022,2049.013671875
317,20201217,2026,2051.066162109375
318,20201218,2027,2052.66064453125
